index,latitude,longitude,Location_id,networkx_point
0,40.723689,-73.97603,4,3057
1,40.7045416,-74.0142564,12,3487
2,40.7074717,-74.0171151,13,1148
3,40.8023702,-73.9642763,24,2157
4,40.8075917,-73.9549547,41,581
5,40.8203792,-73.9401037,42,1947
6,40.7815194,-73.9627249,43,1160
7,40.7132906,-73.9982694,45,4120
8,40.7647531,-73.9880232,48,2420
9,40.7712271,-73.9935659,50,4378
10,40.7477804,-74.000438,68,2408
11,40.80182,-73.9392953,74,2676
12,40.7909456,-73.9472304,75,1542
13,40.7260512,-73.9835308,79,1198
14,40.7055443,-74.0079409,87,2374
15,40.7034746,-74.0115948,88,907
16,40.74047,-73.998287,90,1862
17,40.7541474,-73.988323,100,1956
18,40.7357911,-73.985362,107,1645
19,40.7346805,-73.9946012,113,1842
20,40.7282036,-73.995585,114,2031
21,40.8240402,-73.9447637,116,1042
22,40.8481397,-73.9308625,120,2194
23,40.7256753,-74.0057082,125,2128
24,40.8644793,-73.9189398,127,837
25,40.86915,-73.922145,128,833
26,40.7400362,-73.9762474,137,2585
27,40.7611816,-73.9579018,140,266
28,40.7688122,-73.9583845,141,1514
29,40.7738424,-73.9821234,142,3706
30,40.7768348,-73.9891559,143,1772
31,40.7198029,-73.9985112,144,191
32,40.7189587,-73.9898073,148,3394
33,40.7985077,-73.9671272,151,2154
34,40.8175078,-73.9568442,152,3949
35,40.8746713,-73.9110993,153,260
36,40.7324705,-74.0098682,158,1586
37,40.7585437,-73.9772064,161,1990
38,40.7552316,-73.9732717,162,2646
39,40.7663007,-73.9818927,163,345
40,40.747152,-73.9854903,164,2335
41,40.807987,-73.9638012,166,3742
42,40.7482478,-73.9762946,170,2823
43,40.749101,-73.992006,186,1323
44,40.7841865,-73.9266152,194,3928
45,40.7101781,-74.0042431,209,178
46,40.721995,-74.002971,211,1136
47,40.7330871,-73.9753697,224,1775
48,40.7560685,-73.9616198,229,2034
49,40.7579634,-73.9855335,230,334
50,40.7197847,-74.0068153,231,2507
51,40.7152425,-73.9842337,232,193
52,40.7507505,-73.9684095,233,2355
53,40.7379242,-73.9922478,234,1861
54,40.7801748,-73.9550942,236,2662
55,40.76413,-73.9688047,237,1518
56,40.7915049,-73.9722334,238,2145
57,40.7818426,-73.979274,239,1816
58,40.856503,-73.932761,243,489
59,40.8369673,-73.9401365,244,1056
60,40.7532765,-74.0038197,246,727
61,40.7336094,-74.0028114,249,760
62,40.7095053,-74.0138882,261,4052
63,40.7746144,-73.9480825,262,287
64,40.7778838,-73.9517401,263,514
